Band gap,j_twist_angle,j_num_atoms,j_max_strain,j_interlayer_distance,mono_name1,mono_name2,mat_name,l_a,l_b,l_c,l_alpha,l_beta,l_gamma
1.162,9.518,109,0.961,7.76,1MoSe2-1,2InSe-1,1Mo19In26Se64-1,14.43677264311242,14.436786173092866,26.703804654761182,90.0,90.0,119.99969606989578
1.197,9.514,109,0.834,7.479,1WS2-1,2InS-1,1W19In26S64-1,13.899067704342068,13.899137538061831,26.312464207508313,90.0,90.0,119.999692527645
0.352,6.585,138,0.493,6.481,1WS2-1,1HfSe2-1,1Hf19W27Se38S54-1,16.44854258567143,16.448565068837013,24.31718224410372,90.0,90.0,119.9997823111245
0.811,6.59,138,0.405,7.354,1WTe2-1,1MgI2-1,1Mg19W27I38Te54-1,18.231628749499787,18.23192484696344,25.016362896296258,90.0,90.0,119.99894486518338
0.371,6.587,138,0.025,6.381,1PtSe2-1,1PbBr2-1,1Pb19Pt27Br38Se54-1,19.32970349243247,19.329703631106092,24.04406099882389,90.0,90.0,119.99996253926187
1.053,6.586,138,0.787,6.153,1MoS2-1,1PtSe2-1,1Pt19Mo27Se38S54-1,16.344413120687882,16.345832973860876,23.787866802275236,90.0,90.0,119.99538146876223
0.974,4.725,300,0.908,7.248,1MoTe2-1,1ZnI2-1,2Zn19Mo31I38Te62-1,25.324565259518288,26.49806026851983,24.89298861146495,90.0,90.0,99.51542380548334
0.809,4.705,300,0.902,7.256,1WTe2-1,1ZnI2-1,2Zn19W31I38Te62-1,25.321557795766555,26.496499471375575,24.91164818881981,90.0,90.0,99.5176955574267
0.874,23.413,121,0.361,7.877,1MoTe2-1,2GaSe-1,1Mo19Ga32Se32Te38-1,15.265836827042092,15.265843369676523,26.436207599662307,90.0,90.0,119.99992338491184
0.81,23.413,121,0.18,7.861,1MoTe2-1,2GaSe-2,1Mo19Ga32Se32Te38-2,15.293189135209381,15.293302990847721,26.40979730888575,90.0,90.0,119.99976577408819
0.551,23.413,121,0.39,7.874,1WTe2-1,2GaSe-1,1W19Ga32Se32Te38-1,15.270260068225712,15.270257144856684,26.454867177017164,90.0,90.0,119.9999621457261
0.488,23.413,121,0.194,7.858,1WTe2-1,2GaSe-2,1W19Ga32Se32Te38-2,15.29523366608052,15.29531506595702,26.428456886240614,90.0,90.0,119.99967477889395
1.032,23.413,121,0.188,7.295,1PtSe2-1,2InSe-1,1Pt19In32Se70-1,16.20194638332021,16.202120006711304,26.009182367774244,90.0,90.0,119.99901608472635
